provider,scenario_id,sample_size,bandwidth,threshold,calibration_mean,calibration_median,calibration_sd
openai,CP01,30,0.2239787883673933,0.040070768408863186,0.02591487894869299,0.024543491895601455,0.007548763976153223
openai,CP02,30,0.28125953865671866,0.040979077651800165,0.02659469300162414,0.02514089590753077,0.007422743498115802
openai,CP03,30,0.2841057639379213,0.04581796519378285,0.027577318913086,0.025621502728788936,0.009830534475012092
openai,CP04,30,0.23086493297827004,0.03820806541342625,0.026666769890380835,0.025719953062107948,0.00620737096053719
openai,CP05,30,0.2301997225970237,0.03810936718223869,0.026244154461714946,0.025186838611781615,0.00625047410831238
openai,CR01,30,0.23352537715060523,0.04169705705223494,0.026819561354028854,0.025325575337864392,0.007700857223091302
openai,CR02,30,0.24906794536999258,0.04472271802592071,0.02733486929604031,0.025256678067239635,0.008875422587894453
openai,CR03,30,0.28289892887606294,0.036991754990171835,0.025848038522080237,0.02498404975844437,0.006120726423404998
openai,CR04,30,0.2693026435507786,0.040591405896019776,0.025813786858926175,0.02431629121635248,0.00800922555842377
openai,CR05,30,0.2705882683596469,0.04127791580831533,0.026464807485223264,0.024998215915039035,0.007709013037794256
openai,EX01,30,0.2794632079238498,0.037600032586537116,0.02675696691177052,0.02601444241757278,0.005924583434747446
openai,EX02,30,0.32580082054474346,0.03963474852009134,0.026060273573865686,0.02460928468433521,0.007235113610247497
openai,EX03,30,0.2722313682111591,0.03780845474972803,0.026727269513643723,0.025737490920357042,0.006043337659811401
openai,EX04,30,0.3383352398725664,0.04564013655540622,0.02541921525436794,0.023018303289395026,0.010120753275177363
openai,EX05,30,0.3286825042344128,0.042851668693474246,0.026351769210448423,0.02461379531247543,0.008545064276353206
openai,SU01,30,0.3345601401197642,0.0556192532763712,0.025912692886320872,0.02150902640223895,0.015560415498056531
openai,SU02,30,0.2948578361106637,0.0543198942307719,0.02148901937047267,0.016666978844666724,0.01599645643244561
openai,SU03,30,0.3315726717662446,0.044718712273379355,0.024746210084311382,0.022075594138019405,0.010386982649234716
openai,SU04,30,0.3989396949464683,0.04580162035254946,0.02484140349064381,0.02258441822020163,0.01059924871439838
openai,SU05,30,0.21845408291116053,0.0516482565232016,0.026350052627047524,0.02301751381846795,0.012683929142011555
gemini,CP01,30,0.19185527179891385,0.044911733087678776,0.02672654192419978,0.024601325144436137,0.009248321496298378
gemini,CP02,30,0.26245489400942335,0.041005798503470164,0.026339038384889407,0.024854231853340014,0.007835328149676898
gemini,CP03,30,0.18637460470870434,0.05254595026861803,0.030018590502139664,0.026839021136975005,0.01229295583716482
gemini,CP04,30,0.27134822419533683,0.03786115159888592,0.02691345851141765,0.026060613612872374,0.005960657653689942
gemini,CP05,30,0.24410951491541766,0.04099281169437446,0.026283487102612354,0.024800519383915587,0.0077217433771375205
gemini,CR01,30,0.20931958080778568,0.0402411661337008,0.02656546593065907,0.025527364666393604,0.007124970712082404
gemini,CR02,30,0.30533339769782797,0.04702888505804645,0.02610382879969812,0.023390511597215724,0.010694611766575842
gemini,CR03,30,0.16068393644468762,0.042295809514556346,0.026061137294563934,0.024421573569133104,0.008715452340257323
gemini,CR04,30,0.23553652323257881,0.04811738164259052,0.02725667491264249,0.02453874235515474,0.010765785461721786
gemini,CR05,30,0.2746026103298065,0.042374188806444515,0.026252781840697615,0.0245388857709794,0.008223310976724414
