provider,perturbation_family,median_calibrated_response,mean_calibrated_response,mean_exceedance_rate
gemini,context_removal,14.303081975749445,12.69372356158166,0.98768125
gemini,semantic,8.416304807151741,9.497765535731572,0.9742062499999999
gemini,surface,12.910298806534463,12.632978965569645,1.0
openai,context_removal,14.06661353569187,13.309151457987536,1.0
openai,semantic,7.554924060589394,8.212011701739154,0.9256875000000001
openai,surface,10.95458854543829,12.310960250046564,1.0
qwen,context_removal,16.447897845601453,16.099956095235843,1.0
qwen,semantic,13.977267225398906,13.385067649976765,0.97698125
qwen,surface,17.442785887018964,16.928828717552403,1.0
