provider,scenario_id,task_family,perturbation_family,lambda,sample_size,threshold,bandwidth,median_mmd2,mean_mmd2,q025_mmd2,q975_mmd2,median_rho,mean_rho,q025_rho,q975_rho,exceedance_rate
openai,CP01,comparison,semantic,0.25,30,0.040070768408863186,0.2239787883673933,0.03793738179313977,0.03864769246673543,0.024539295873603834,0.05739955287460287,0.9467595281938357,0.9644859332966278,0.6123989343856961,1.4324545087063205,0.3975
openai,CP01,comparison,semantic,0.5,30,0.040070768408863186,0.2239787883673933,0.13041125519566488,0.13097198375275404,0.1062759384385982,0.15817761129131885,3.2545234437485715,3.268516900309417,2.652206150733341,3.9474564020671945,1.0
openai,CP01,comparison,semantic,0.75,30,0.040070768408863186,0.2239787883673933,0.3098875076429157,0.3100743471482409,0.2847568905556601,0.3360376411770644,7.733505494104081,7.738168232373004,7.1063496374747634,8.386104248071689,1.0
openai,CP01,comparison,semantic,1.0,30,0.040070768408863186,0.2239787883673933,0.3505525105201756,0.35107939118992076,0.3272528371387259,0.37755305244394943,8.74833511908989,8.761483872923836,8.16687201502084,9.4221565354469,1.0
openai,CP01,comparison,context_removal,0.25,30,0.040070768408863186,0.2239787883673933,0.08350067883200185,0.08434327526024872,0.06552696812574238,0.10765374861590468,2.08383023704463,2.1048579453143947,1.6352810471996984,2.686590571896618,1.0
openai,CP01,comparison,context_removal,0.5,30,0.040070768408863186,0.2239787883673933,0.32562999441412516,0.3262835788411352,0.2878206648358996,0.367129921822046,8.126372598886814,8.142683352410208,7.182808722286369,9.162038473433446,1.0
openai,CP01,comparison,context_removal,0.75,30,0.040070768408863186,0.2239787883673933,0.8607615175822709,0.8606951019926153,0.830937176530705,0.8897681148588591,21.481033475561716,21.47937601821081,20.736741757787488,22.204917704100048,1.0
openai,CP01,comparison,context_removal,1.0,30,0.040070768408863186,0.2239787883673933,0.739574889473126,0.7396577227087783,0.7116330111256582,0.7695554859887673,18.456718421939236,18.458785595565832,17.7594051570085,19.204909627302047,1.0
openai,CP01,comparison,surface,0.25,30,0.040070768408863186,0.2239787883673933,0.26830607154930014,0.2685502127741665,0.2470423280898073,0.2929344010004731,6.695805501198075,6.701898252461922,6.1651507545127195,7.310426343999917,1.0
openai,CP01,comparison,surface,0.5,30,0.040070768408863186,0.2239787883673933,0.5236526034017925,0.5239608932478177,0.4880540970708646,0.5627852250460493,13.068194701401499,13.075888335895343,12.179803793403492,14.044782453474683,1.0
openai,CP01,comparison,surface,0.75,30,0.040070768408863186,0.2239787883673933,0.813546300868079,0.8138131088641763,0.7826636410631027,0.8470808438858922,20.302737710618295,20.309396130376438,19.532034751047767,21.13962066418791,1.0
openai,CP01,comparison,surface,1.0,30,0.040070768408863186,0.2239787883673933,0.6675381452377503,0.6682779552689698,0.635615244658427,0.7025966675452636,16.65898039255216,16.677442979135748,15.86231734248042,17.533895541415607,1.0
openai,CP02,comparison,semantic,0.25,30,0.040979077651800165,0.28125953865671866,0.02956526908665691,0.03033796320064477,0.022414887154775937,0.04252901951962589,0.7214722922236914,0.7403281122729726,0.5469836911712744,1.0378227611903716,0.0375
openai,CP02,comparison,semantic,0.5,30,0.040979077651800165,0.28125953865671866,0.19658349205645737,0.1972689510308838,0.16998909975810575,0.2276236353250841,4.797167318572425,4.813894365975755,4.1481924313305845,5.554630518022038,1.0
openai,CP02,comparison,semantic,0.75,30,0.040979077651800165,0.28125953865671866,0.46703677950042616,0.46787615054235904,0.43057117468767897,0.5099596510801216,11.3969568439008,11.417439760794755,10.507097752327388,12.444390657429052,1.0
openai,CP02,comparison,semantic,1.0,30,0.040979077651800165,0.28125953865671866,0.4240786418885796,0.42528539619905764,0.390566064874054,0.4656918616676993,10.348662444088717,10.378110503430896,9.530865194007042,11.364137222040233,1.0
openai,CP02,comparison,context_removal,0.25,30,0.040979077651800165,0.28125953865671866,0.12396083256391954,0.12415490038346765,0.11330845237866483,0.13612182089301497,3.0249785907144275,3.0297143688399646,2.7650317886958913,3.3217394995964553,1.0
openai,CP02,comparison,context_removal,0.5,30,0.040979077651800165,0.28125953865671866,0.4989922177384092,0.500374455883966,0.467420894234834,0.5389828062314983,12.176755708812031,12.210486046944618,11.406330279234597,13.152633907752714,1.0
openai,CP02,comparison,context_removal,0.75,30,0.040979077651800165,0.28125953865671866,0.7931867387143974,0.7933389676401891,0.7598690403940928,0.8283458363084937,19.35589535357816,19.35961014987214,18.542853669150666,20.213872145853564,1.0
openai,CP02,comparison,context_removal,1.0,30,0.040979077651800165,0.28125953865671866,0.5552308488045482,0.5558757206772775,0.523860078335556,0.5925040018116763,13.549129961448937,13.56486657412258,12.783598566732099,14.458695406621684,1.0
