sample_size,measure,perturbation,mean_spearman_rho,sd_spearman_rho,min_spearman_rho,max_spearman_rho
100,JS,contamination,0.9999999999999998,0.0,0.9999999999999999,0.9999999999999999
100,JS,location,0.9842424242424241,0.015171703721631194,0.9636363636363635,0.9999999999999999
100,JS,scale,0.9999999999999998,0.0,0.9999999999999999,0.9999999999999999
100,MMD2,contamination,0.9999999999999998,0.0,0.9999999999999999,0.9999999999999999
100,MMD2,location,0.9963636363636363,0.005855101715632061,0.9878787878787878,0.9999999999999999
100,MMD2,scale,0.9987878787878787,0.0038330638305071126,0.9878787878787878,0.9999999999999999
100,TV,contamination,0.9999999999999998,0.0,0.9999999999999999,0.9999999999999999
100,TV,location,0.9878371104204888,0.007445332804563006,0.9787279253249042,0.996965091635306
100,TV,scale,0.9975720733082447,0.001279629722977274,0.996965091635306,0.9999999999999999
100,W1,contamination,0.9999999999999998,0.0,0.9999999999999999,0.9999999999999999
100,W1,location,0.9987878787878787,0.003833063830507114,0.9878787878787878,0.9999999999999999
100,W1,scale,0.9987878787878787,0.003833063830507118,0.9878787878787878,0.9999999999999999
