seed,sample_size,measure,perturbation,lambda,median_discrepancy,mean_discrepancy,median_rho,mean_rho,q025_rho,q975_rho,exceedance_rate,n_repetitions
20260829,100,JS,contamination,0.0,0.08614323483947228,0.08747035383030587,0.7017732709734613,0.7125847599650672,0.4301718955276176,1.0700861441879599,0.046,1000
20260829,100,JS,contamination,0.05,0.10118629581589977,0.10245499937787728,0.8243228609273716,0.8346584636040507,0.520789946677757,1.217328005767883,0.178,1000
20260829,100,JS,contamination,0.1,0.11480351322891297,0.11615052582056837,0.9352566936687936,0.9462302475903523,0.6086381567656897,1.3302945629649547,0.357,1000
20260829,100,JS,contamination,0.2,0.14698285885431123,0.1486038081735839,1.197408500243087,1.2106137032748514,0.8373627314043637,1.635255036614533,0.836,1000
20260829,100,JS,contamination,0.3,0.18591494543335252,0.1879958078837709,1.5145720917347387,1.5315240166421005,1.0821784971931527,2.0081235041389,0.989,1000
20260829,100,JS,contamination,0.4,0.22819625440431202,0.22890908073775648,1.859020411476658,1.864827512505422,1.3904848128497087,2.3730376575413876,1.0,1000
20260829,100,JS,contamination,0.5,0.2760691901565464,0.2766797708308376,2.249021399674441,2.253995547647744,1.6963987900999473,2.816874712909946,1.0,1000
20260829,100,JS,contamination,0.6,0.32941374040295446,0.33101765323051946,2.6835973659101113,2.696663779697034,2.1569327284999757,3.321849644899416,1.0,1000
20260829,100,JS,contamination,0.8,0.4673167062379513,0.4668064428601852,3.807035736796812,3.80287883230698,3.167921374162752,4.42373524253635,1.0,1000
20260829,100,JS,contamination,1.0,0.6557052820654714,0.6532137786513529,5.341759471270871,5.321462224437433,4.9437671004479835,5.590315286201057,1.0,1000
20260829,100,JS,location,0.0,0.08681477836110513,0.08847455411779977,0.7072440580254629,0.7207655639687749,0.44232075854639336,1.0824154297037365,0.057,1000
20260829,100,JS,location,0.05,0.08577741804051991,0.08791635649066634,0.6987931129604003,0.7162181589941065,0.440192769943833,1.0627032546548836,0.057,1000
20260829,100,JS,location,0.1,0.08814405003263658,0.08988171672195301,0.7180730840155054,0.7322291351400733,0.43961882758975057,1.0809159513514806,0.062,1000
20260829,100,JS,location,0.2,0.09089259643516581,0.09236313680142308,0.7404643536598332,0.7524442372206257,0.4600349972753907,1.127899116124176,0.08,1000
20260829,100,JS,location,0.3,0.09607164808121435,0.0971894460831241,0.7826559432949437,0.7917621808485904,0.4751298042032277,1.182418075218888,0.117,1000
20260829,100,JS,location,0.4,0.10635349916958858,0.10771050153172487,0.8664179274298157,0.8774728638757214,0.5297081470184558,1.2956427928321004,0.232,1000
20260829,100,JS,location,0.5,0.1123392419037945,0.11396083692911396,0.9151812953903664,0.928391758721972,0.5772579864194407,1.3940823408085479,0.33,1000
20260829,100,JS,location,0.6,0.1237748850296184,0.12563962518043506,1.008342745584913,1.0235340115919622,0.6463701376578723,1.4984350177802392,0.518,1000
20260829,100,JS,location,0.8,0.1524657178905533,0.15439258817334145,1.24207508290997,1.257772497380342,0.8230938106433572,1.790779598820247,0.854,1000
20260829,100,JS,location,1.0,0.1893079346869506,0.1915436058175105,1.5422133704876497,1.5604264576213946,1.0704709466516278,2.173257399613856,0.988,1000
20260829,100,JS,scale,0.0,0.08656268262137258,0.08747952074974663,0.7051903384013941,0.7126594390626502,0.42478850993399137,1.063654370363802,0.051,1000
20260829,100,JS,scale,0.05,0.08709504023243483,0.08926622450391204,0.7095272354628867,0.727214974853218,0.41162631696659413,1.0734093323894602,0.065,1000
20260829,100,JS,scale,0.1,0.09056662866242388,0.09235847427623073,0.7378088291658282,0.752406253558167,0.4611874256819698,1.0901352164587639,0.081,1000
20260829,100,JS,scale,0.2,0.10071887783322007,0.1021351955335658,0.8205150001333325,0.8320531540831049,0.5079612683925504,1.2247086986307578,0.172,1000
20260829,100,JS,scale,0.3,0.10864645564932576,0.10981752663884428,0.8850976945871969,0.8946379251158973,0.5492153894543701,1.287506358333234,0.281,1000
20260829,100,JS,scale,0.4,0.11914770836830679,0.12083328462354755,0.970647052974438,0.9843787448980094,0.6323045521992193,1.405103740733382,0.441,1000
20260829,100,JS,scale,0.5,0.13197864812532278,0.1323499023761059,1.0751754071710762,1.0781998618530992,0.6910127882371692,1.5166112878002023,0.641,1000
20260829,100,JS,scale,0.6,0.14163162973482535,0.14335437191028397,1.1538142520132855,1.1678487193021962,0.790305682831183,1.6377298680655514,0.759,1000
20260829,100,JS,scale,0.8,0.16523130593675564,0.16613563203441198,1.3460710437741907,1.3534382141011652,0.919662665846667,1.8369283332348043,0.947,1000
20260829,100,JS,scale,1.0,0.18881949070070472,0.18993158574317462,1.5382342195473135,1.5472939974514266,1.1137690800299402,2.070980004848093,0.996,1000
20260829,100,MMD2,contamination,0.0,0.006546616499536029,0.008599658804909285,0.2761947906289862,0.3628104629728916,0.033658556009832294,1.2127639155799523,0.055,1000
20260829,100,MMD2,contamination,0.05,0.009780065170231333,0.011970644276300929,0.4126105526757712,0.5050287564303372,0.07083584632293508,1.546929197513203,0.092,1000
20260829,100,MMD2,contamination,0.1,0.019643349978248792,0.021994094927289987,0.8287320534017586,0.9279074838044092,0.19559229679544027,2.2266706569917196,0.379,1000
20260829,100,MMD2,contamination,0.2,0.05614149474848079,0.05865340428836394,2.368549981315374,2.474524774477025,0.8432924976272155,4.812846464782408,0.957,1000
20260829,100,MMD2,contamination,0.3,0.11458845042841193,0.11830980806506458,4.834364908471147,4.991365031112164,2.2315219219355225,9.306034490622888,1.0,1000
20260829,100,MMD2,contamination,0.4,0.19534321643853875,0.19988881212029266,8.241322638779693,8.433096488323963,4.450222450168459,13.635921208589837,1.0,1000
20260829,100,MMD2,contamination,0.5,0.30388543034031634,0.30971582252248864,12.820603255741563,13.066581303814806,7.712481818849277,19.390272870419874,1.0,1000
20260829,100,MMD2,contamination,0.6,0.43913769258368257,0.44138427925744833,18.52675241768663,18.62153352118255,12.21161520062815,25.67879048505034,1.0,1000
20260829,100,MMD2,contamination,0.8,0.7689649381686829,0.7724051364483807,32.441813280735595,32.586951588997685,25.180687840091675,39.87237943714151,1.0,1000
20260829,100,MMD2,contamination,1.0,1.2092394541243578,1.2056651310103992,51.01652706796814,50.86573017553215,46.03202102216474,55.46424648433655,1.0,1000
20260829,100,MMD2,location,0.0,0.006593958017191315,0.00899779786868509,0.2781920789316975,0.3796075268254286,0.03899651076682312,1.319847461205119,0.055,1000
20260829,100,MMD2,location,0.05,0.006346348671269597,0.008846964798357868,0.2677457038523759,0.3732440399338555,0.037885835460150494,1.3401224861790801,0.059,1000
20260829,100,MMD2,location,0.1,0.007747836473192771,0.01082249363965816,0.3268729843412639,0.45658950163046286,0.04373824178961365,1.588890797568768,0.098,1000
20260829,100,MMD2,location,0.2,0.013176401042028552,0.01653013727099469,0.5558983525771752,0.6973889188337745,0.04436693078537589,2.3027651027396097,0.241,1000
20260829,100,MMD2,location,0.3,0.02201050208959998,0.026736649123819498,0.9285996845403689,1.1279908037071287,0.0784652309642853,3.327249788498568,0.465,1000
20260829,100,MMD2,location,0.4,0.03519349361183777,0.038695773262200875,1.484776082471455,1.6325335377653087,0.22995359864930578,4.069963939907043,0.694,1000
20260829,100,MMD2,location,0.5,0.052434596802819256,0.05670090725506705,2.2121598976656647,2.3921510002757453,0.49286398559297406,5.175739114792359,0.861,1000
20260829,100,MMD2,location,0.6,0.07293487691051304,0.07626760991478035,3.0770449222552885,3.2176493847896617,0.8486696416592899,6.4693026341189395,0.959,1000
