seed,sample_size,measure,B,threshold,calibration_mean,calibration_median,calibration_sd,mmd_bandwidth
20260829,50,JS,2000,0.231322774359572,0.1632255521192683,0.16062506144447508,0.037764609618968055,0.9499056426010002
20260829,50,TV,2000,0.5,0.38630999999999993,0.38,0.06246546940057136,0.9499056426010002
20260829,50,W1,2000,0.41466460004842337,0.2456913469306991,0.22718016146737952,0.09136006162274189,0.9499056426010002
20260829,50,MMD2,2000,0.05092318642761173,0.01781798209500417,0.013077036745896553,0.015749494991040308,0.9499056426010002
20260829,100,JS,2000,0.1227508062824609,0.08796027999391688,0.08627138278395613,0.020103588636109816,0.9499056426010002
20260829,100,TV,2000,0.36,0.28631500000000004,0.28,0.042564969908736754,0.9499056426010002
20260829,100,W1,2000,0.28877164998973975,0.17406151681665374,0.16377257683633456,0.06137921847325622,0.9499056426010002
20260829,100,MMD2,2000,0.023702896367549995,0.008659872871120857,0.006308460060161614,0.007943303620540238,0.9499056426010002
20260829,250,JS,2000,0.05406403915990664,0.03832767061427238,0.037680706998054564,0.008760384800998047,0.9499056426010002
20260829,250,TV,2000,0.23199999999999998,0.18519000000000005,0.184,0.02663025507280434,0.9499056426010002
20260829,250,W1,2000,0.19468159652002615,0.11405836228017631,0.10569274460059588,0.040468580910502636,0.9499056426010002
20260829,250,MMD2,2000,0.009506555717963038,0.0034517115472506134,0.0025251787041739027,0.003055958520630875,0.9499056426010002
20260830,50,JS,1000,0.2295967189034301,0.16319295610388568,0.16204314847997953,0.038053213085558535,0.9715884513892648
20260830,50,TV,1000,0.5,0.39052,0.38,0.06084267771417882,0.9715884513892648
20260830,50,W1,1000,0.4182758175259234,0.2445540990690131,0.2223315379476023,0.09240901661818988,0.9715884513892648
20260830,50,MMD2,1000,0.05066077828794357,0.017690745573082024,0.012632124668962241,0.016354585873677066,0.9715884513892648
20260830,100,JS,1000,0.1223417625372361,0.08808372007445829,0.08680013017064425,0.019895924243628436,0.9715884513892648
20260830,100,TV,1000,0.36,0.28944,0.29000000000000004,0.04259225869216729,0.9715884513892648
20260830,100,W1,1000,0.2920897755820999,0.17676337866707667,0.16479664033546604,0.06314440446527021,0.9715884513892648
20260830,100,MMD2,1000,0.02461801997859122,0.008845660512725161,0.006435883503780104,0.007982293603076633,0.9715884513892648
20260830,250,JS,1000,0.05428477971102271,0.039051812731121294,0.038477160292740495,0.008668679275868153,0.9715884513892648
20260830,250,TV,1000,0.23600000000000002,0.19011200000000003,0.188,0.026707840885492124,0.9715884513892648
20260830,250,W1,1000,0.1930273832849405,0.11273923981079918,0.10469727410185997,0.041786133783412886,0.9715884513892648
20260830,250,MMD2,1000,0.009952370516099355,0.0034980281316051086,0.0026082616013501925,0.0030838546243122794,0.9715884513892648
20260831,50,JS,1000,0.2305647751939316,0.16083528124299626,0.1595228867053552,0.03955338465987143,0.9596183184011484
20260831,50,TV,1000,0.48000000000000004,0.38482,0.38,0.061671476153656084,0.9596183184011484
20260831,50,W1,1000,0.41531692640551215,0.2449518773867663,0.2274195469437687,0.08897919138441268,0.9596183184011484
20260831,50,MMD2,1000,0.050100778133490814,0.018121874101698233,0.012971453807715472,0.015942413152022345,0.9596183184011484
20260831,100,JS,1000,0.12431363735146134,0.08836185322850103,0.08726982325327982,0.02081787844559938,0.9596183184011484
20260831,100,TV,1000,0.36,0.28531999999999996,0.29,0.04370363380323892,0.9596183184011484
20260831,100,W1,1000,0.2981193515741654,0.17596444735362804,0.16409959972000798,0.06313436718541762,0.9596183184011484
20260831,100,MMD2,1000,0.022855097528743727,0.008325260947546874,0.006042864421087368,0.00733748563918717,0.9596183184011484
20260831,250,JS,1000,0.05283892402247323,0.03859381570756949,0.038083179055905074,0.008438257419643573,0.9596183184011484
20260831,250,TV,1000,0.232,0.18658400000000003,0.184,0.026986278053914795,0.9596183184011484
20260831,250,W1,1000,0.18869229220880931,0.11465368646806481,0.10785986606468081,0.0401721201953345,0.9596183184011484
20260831,250,MMD2,1000,0.009831457518273577,0.0033962838694440584,0.002364612082362383,0.0032947642680134894,0.9596183184011484
20260832,50,JS,1000,0.22781346309199918,0.16245053340722973,0.16044319328859333,0.0371789916549831,0.9414812376922175
20260832,50,TV,1000,0.5,0.39092,0.39999999999999997,0.061681100494058616,0.9414812376922175
20260832,50,W1,1000,0.4172625693581597,0.2434140469976843,0.22675608016887497,0.08939349176874267,0.9414812376922175
20260832,50,MMD2,1000,0.04876163566962352,0.017791082010192163,0.013456163049841874,0.015493228922523404,0.9414812376922175
20260832,100,JS,1000,0.12454735805685709,0.0878647216478465,0.08600741437389736,0.020694683366425437,0.9414812376922175
20260832,100,TV,1000,0.36,0.28658000000000006,0.29,0.04221712787348147,0.9414812376922175
20260832,100,W1,1000,0.3028881130397449,0.1808641555484051,0.1690018652082682,0.06561962337593075,0.9414812376922175
20260832,100,MMD2,1000,0.025357083153307765,0.009282167197717484,0.006883852757458064,0.008486762103307737,0.9414812376922175
20260832,250,JS,1000,0.05281813342812594,0.038112345730591995,0.037392052351675774,0.008234694216504843,0.9414812376922175
