target,degree,n_terms,method,train_rmse,train_mae,train_max_error,eval_rmse,eval_mae,eval_max_error,condition_number
phi1_periodic,1,3,L2,0.23964392880927404,0.18910136759253673,0.7354411463811755,0.22534657053049825,0.17983926493800234,0.7239676462881459,1.6770509831248426
phi1_periodic,1,3,Linf,0.2695842409988858,0.2177405953122335,0.5283647312750857,0.26533931731940674,0.2132586233631683,0.5287360672369598,1.6770509831248426
phi1_periodic,2,6,L2,0.23964392880927404,0.18910136759253673,0.7354411463811877,0.22534657053049825,0.17983926493800234,0.723967646288158,2.8165355891089043
phi1_periodic,2,6,Linf,0.2698477044414665,0.21859455186717971,0.5283647312750858,0.26560553033508216,0.2139877927468374,0.5296686081681037,2.8165355891089043
phi1_periodic,3,10,L2,0.03298384010313961,0.02576272534268342,0.17283072637684505,0.029648762249239347,0.024193952418940703,0.16437503856387325,3.52874327028453
phi1_periodic,3,10,Linf,0.040931694536310424,0.034678906021665366,0.07072308826743436,0.03968664809273412,0.03362249938394686,0.07139558215180525,3.52874327028453
phi1_periodic,4,15,L2,0.0329838401031396,0.025762725342683476,0.17283072637684735,0.029648762249239343,0.02419395241894073,0.16437503856387545,4.428298804535025
phi1_periodic,4,15,Linf,0.04093174746410595,0.03468181619556669,0.0707230882676375,0.039686703462772484,0.03362310310159714,0.07142838970866126,4.428298804535025
phi1_periodic,5,21,L2,0.0020736786950444454,0.0016088720843424034,0.013135305354688535,0.0018274499763610273,0.0015112668563251066,0.011860867718837232,5.144739949812352
phi1_periodic,5,21,Linf,0.0025912641756036794,0.0022115134554413275,0.004452493444347949,0.0025628320970290754,0.0022004947497519787,0.004515287531698331,5.144739949812352
phi1_periodic,6,28,L2,0.002073678695044448,0.0016088720843424247,0.013135305354691972,0.0018274499763610349,0.0015112668563251317,0.011860867718840503,5.988847135087288
phi1_periodic,6,28,Linf,0.002602799549044996,0.0022328079890411847,0.004452493444057626,0.002574228122787819,0.0022172590589376573,0.0045454051205137125,5.988847135087288
phi1_periodic,7,36,L2,7.423385124317989e-05,5.7075118104310563e-05,0.0004732856416895803,6.534389797459567e-05,5.420602359212371e-05,0.00039384764794137515,6.8447319243474425
phi1_periodic,7,36,Linf,9.485009219449294e-05,8.212709490126327e-05,0.00015261231704135052,9.275830196918853e-05,8.019191735162689e-05,0.00015747170322077952,6.8447319243474425
phi1_periodic,8,45,L2,7.423385124318237e-05,5.707511810437041e-05,0.00047328564169592,6.534389797447104e-05,5.4206023592096466e-05,0.00039384764794788384,7.803290381030962
phi1_periodic,8,45,Linf,9.536790674716379e-05,8.294211919011128e-05,0.00015261231678981302,9.33047851422085e-05,8.097719141392644e-05,0.00015791289294964095,7.803290381030962
phi1_periodic,9,55,L2,1.707883138134172e-06,1.315783964437619e-06,9.599466723599764e-06,1.519100945064992e-06,1.2520211828195592e-06,6.974098498185172e-06,8.740126263391407
phi1_periodic,9,55,Linf,2.165791976272024e-06,1.9009700076043028e-06,3.446818590255978e-06,2.1242391263589096e-06,1.8540586876445477e-06,3.677471540064481e-06,8.740126263391407
phi1_periodic,10,66,L2,1.7078831381380994e-06,1.315783964447887e-06,9.599466724585789e-06,1.5191009450996735e-06,1.2520211828422324e-06,6.974098498644873e-06,9.760800153575802
phi1_periodic,10,66,Linf,2.1777499693569306e-06,1.9182665520008798e-06,3.4527530859695954e-06,2.1368484648020035e-06,1.8718900462794276e-06,3.688276346558439e-06,9.760800153575802
phi1_periodic,11,78,L2,2.723985738534396e-08,2.0901586009509604e-08,1.2091692158655576e-07,2.466690328469667e-08,2.006032033588015e-08,8.53485256097769e-08,10.761903124203743
phi1_periodic,11,78,Linf,4.409513994219174e-08,3.720725689419897e-08,1.1066644567403472e-07,4.3541326183000294e-08,3.640757719592755e-08,1.15093284153156e-07,10.761903124203743
