provider,scenario_id,perturbation_family,lambda,sample_size,reference_n,median_rho,mean_rho,sd_rho,median_mmd2,exceedance_rate,relative_deviation_vs_reference,exceedance_agreement_vs_reference
openai,CP01,semantic,0.25,3,30,0.6067564918619068,0.6431185688922777,0.2183158750885794,0.23996694098987004,0.073,0.3692745929680004,0.554
openai,CP01,semantic,0.25,5,30,0.6137617508622807,0.6593576810689166,0.22706823243786176,0.1494471272076382,0.08,0.3619926027567099,0.539
openai,CP01,semantic,0.25,7,30,0.6299443018615907,0.6824060863514849,0.24078164329496823,0.10972563275701708,0.106,0.345170786751849,0.557
openai,CP01,semantic,0.25,10,30,0.676093291058856,0.7210400280781528,0.25030495748056736,0.08213202698981237,0.14,0.29719875779795835,0.561
openai,CP01,semantic,0.25,15,30,0.7374839803753999,0.7845329061133307,0.2677061999295827,0.058582994720134396,0.18,0.2333829304825669,0.537
openai,CP01,semantic,0.25,20,30,0.8173009221862453,0.8523419701906428,0.26884248678497863,0.048270626777117576,0.239,0.15041295193777615,0.55
openai,CP01,semantic,0.25,25,30,0.8584130241794257,0.8860302192009915,0.24895896069991036,0.041557703965829584,0.285,0.10767678411529596,0.526
openai,CP01,semantic,0.25,30,30,0.961997860078472,0.977813718012148,0.22732122157975954,0.03794063605753084,0.427,0.0,1.0
openai,CP01,semantic,0.5,3,30,0.9386966442701898,0.9705788392603688,0.24618583294973576,0.37124639829027206,0.397,0.7148849796612261,0.397
openai,CP01,semantic,0.5,5,30,1.0761659795838867,1.101677078969467,0.2672555289094804,0.2620396494591818,0.61,0.6731307318185751,0.61
openai,CP01,semantic,0.5,7,30,1.2423218441073747,1.2662122887093419,0.28653303543036923,0.21639143338500522,0.817,0.6226633811763956,0.817
openai,CP01,semantic,0.5,10,30,1.5211306107223996,1.5486904822529295,0.3261356858713527,0.1847874280474202,0.971,0.5379794019065277,0.971
openai,CP01,semantic,0.5,15,30,1.9767239291303598,2.01397450436802,0.36718786576693885,0.1570236243565054,1.0,0.39959976772227446,1.0
openai,CP01,semantic,0.5,20,30,2.4019301711405836,2.442060443014219,0.37543553863570983,0.1418604478331965,1.0,0.2704497520287875,1.0
openai,CP01,semantic,0.5,25,30,2.79730880164077,2.8212478957737193,0.3536628033580985,0.13542400663214782,1.0,0.15035942576132724,1.0
openai,CP01,semantic,0.5,30,30,3.2923437115127427,3.306352466790497,0.336238714080192,0.12984812099749976,1.0,0.0,1.0
openai,CP01,semantic,0.75,3,30,1.4099610090353825,1.42448956886065,0.2659883647962737,0.5576273757120604,0.958,0.8204060694794527,0.958
openai,CP01,semantic,0.75,5,30,1.8218434145005835,1.8523883548879212,0.3366033585324421,0.4436074162926454,0.999,0.7679425051427619,0.999
openai,CP01,semantic,0.75,7,30,2.287118419800526,2.3054298721698796,0.358304311295617,0.39837730901164786,1.0,0.7086780528357064,1.0
openai,CP01,semantic,0.75,10,30,3.0073113130458973,3.027686284673428,0.4138369625842347,0.3653291301604587,1.0,0.6169434079752858,1.0
openai,CP01,semantic,0.75,15,30,4.252420975965983,4.276463187917317,0.46207616288985603,0.3377965653653862,1.0,0.4583474348526558,1.0
openai,CP01,semantic,0.75,20,30,5.4678657388457825,5.472702913165131,0.46360820368052963,0.32293773221397076,1.0,0.30353003146535396,1.0
openai,CP01,semantic,0.75,25,30,6.5270802870928755,6.526503156680408,0.4284880561463952,0.3159906276952187,1.0,0.16861246795458337,1.0
openai,CP01,semantic,0.75,30,30,7.85082772535049,7.868376350238416,0.33401426798647027,0.3096320790709432,1.0,0.0,1.0
openai,CP01,semantic,1.0,3,30,1.5720881406831668,1.5677481479764155,0.2863423654134305,0.6217472530513131,0.98,0.8234000888976124,0.98
openai,CP01,semantic,1.0,5,30,2.044433282306321,2.048032219168341,0.342630442517019,0.4978066495331666,1.0,0.7703393807467042,1.0
openai,CP01,semantic,1.0,7,30,2.567439001879295,2.580857995935852,0.3831798823166917,0.44720440872905504,1.0,0.7115877362349083,1.0
openai,CP01,semantic,1.0,10,30,3.364073155795416,3.3687569589269457,0.4152801119929308,0.4086686717372555,1.0,0.6220981477557431,1.0
openai,CP01,semantic,1.0,15,30,4.763352525388079,4.777687236200169,0.44894611091847986,0.3783830744403475,1.0,0.4649106428808041,1.0
openai,CP01,semantic,1.0,20,30,6.1718306602301,6.18255614267021,0.46023153730545147,0.3645146190886705,1.0,0.3066897982819344,1.0
openai,CP01,semantic,1.0,25,30,7.3658886225372395,7.3908123963929775,0.4175012865508548,0.35659922461368876,1.0,0.172555760540957,1.0
openai,CP01,semantic,1.0,30,30,8.901975832658918,8.900237455048673,0.3298317087424762,0.351088749025176,1.0,0.0,1.0
openai,CP01,context_removal,0.25,3,30,0.7584650333178363,0.7936598329768035,0.23079760244408687,0.29996635608224254,0.176,0.6430826509939632,0.176
openai,CP01,context_removal,0.25,5,30,0.8378421859660327,0.8746274479999873,0.24989093636679585,0.20400930421304042,0.268,0.6057294683812987,0.268
openai,CP01,context_removal,0.25,7,30,0.9277885680083615,0.9741053108380979,0.2811073918445555,0.16160506157227195,0.417,0.563402633496375,0.417
openai,CP01,context_removal,0.25,10,30,1.0815941888246419,1.125576004496395,0.291319999604628,0.1313924043965058,0.622,0.491025012864561,0.622
openai,CP01,context_removal,0.25,15,30,1.3792282254325527,1.4086469256205396,0.3102833358044066,0.10956077962160815,0.92,0.35096482992459804,0.92
openai,CP01,context_removal,0.25,20,30,1.6174263264991362,1.627978037891864,0.30659888434139726,0.09552684993561367,0.993,0.23887392126522622,0.993
openai,CP01,context_removal,0.25,25,30,1.82598976842113,1.8461902370807806,0.28067036274277857,0.08840026898848374,1.0,0.1407284464966111,1.0
openai,CP01,context_removal,0.25,30,30,2.1250438944199592,2.1425522552090004,0.2660200028530958,0.08381049516876149,1.0,0.0,1.0
openai,CP01,context_removal,0.5,3,30,1.3908202034565074,1.4044737790772344,0.3098670387482935,0.550057352771309,0.907,0.8323725337451113,0.907
openai,CP01,context_removal,0.5,5,30,1.835071352926453,1.8577323817648486,0.3591071978185057,0.4468283361265196,0.998,0.7788295276963085,0.998
openai,CP01,context_removal,0.5,7,30,2.3092685969510702,2.32682748172052,0.4399176238430138,0.4022354948803685,1.0,0.7216772931203723,1.0
openai,CP01,context_removal,0.5,10,30,3.10337956317516,3.1079888768414,0.4677052485134519,0.37699953159296423,1.0,0.6259677191132181,1.0
openai,CP01,context_removal,0.5,15,30,4.385368362623811,4.424047846944749,0.5559306656450126,0.34835741313684104,1.0,0.47145706871810833,1.0
openai,CP01,context_removal,0.5,20,30,5.713686645778323,5.738695205401082,0.5913006435066324,0.33745616591500266,1.0,0.3113625952327024,1.0
openai,CP01,context_removal,0.5,25,30,6.839603468828893,6.8683316490348725,0.5627372933249858,0.33112057738518275,1.0,0.17566239200537495,1.0
openai,CP01,context_removal,0.5,30,30,8.297090175792986,8.313954746783448,0.5282848374924043,0.3272324105488111,1.0,0.0,1.0
openai,CP01,context_removal,0.75,3,30,2.910745322636364,2.9236445992225337,0.21315584639582497,1.151174582294523,1.0,0.866575488685757,1.0
openai,CP01,context_removal,0.75,5,30,4.190410322998358,4.204944473612173,0.2806125061343764,1.0203385657602768,1.0,0.8079174274698085,1.0
openai,CP01,context_removal,0.75,7,30,5.557579333686195,5.566104938142941,0.3236284164486441,0.9680362330192556,1.0,0.7452483043018004,1.0
openai,CP01,context_removal,0.75,10,30,7.61659387535836,7.639674025936887,0.3850501240633955,0.9252662347257561,1.0,0.6508659456409258,1.0
openai,CP01,context_removal,0.75,15,30,11.260370776916453,11.286258294224709,0.4609935071004395,0.8944821302220882,1.0,0.48384028776297217,1.0
openai,CP01,context_removal,0.75,20,30,14.862162780720086,14.878056062653728,0.4708940526328421,0.8777745053436093,1.0,0.3187391591187866,1.0
openai,CP01,context_removal,0.75,25,30,17.913108762858126,17.91622993105363,0.4470567744784525,0.8672138587204908,1.0,0.17888804485358434,1.0
openai,CP01,context_removal,0.75,30,30,21.815671603105535,21.832196884648905,0.38450212455880695,0.860397398988518,1.0,0.0,1.0
openai,CP01,context_removal,1.0,3,30,2.7739770581496472,2.7796026646675074,0.2029550480130146,1.0970839174337992,1.0,0.8520632296057236,1.0
openai,CP01,context_removal,1.0,5,30,3.860447481809473,3.866009145948722,0.27172357983320095,0.9399946886260793,1.0,0.7941215371418542,1.0
openai,CP01,context_removal,1.0,7,30,4.979154063665443,4.999650309310162,0.31266563637283806,0.8672843434186723,1.0,0.7344606836923356,1.0
openai,CP01,context_removal,1.0,10,30,6.7437058394442495,6.751144528344011,0.3701970383485271,0.8192275198429293,1.0,0.6403567724378109,1.0
openai,CP01,context_removal,1.0,15,30,9.806967276837966,9.830491531887729,0.42387334362052576,0.7790291416324486,1.0,0.4769924062510057,1.0
openai,CP01,context_removal,1.0,20,30,12.854193120730141,12.87334761453769,0.4557890659541813,0.7591817674596517,1.0,0.3144832215830974,1.0
openai,CP01,context_removal,1.0,25,30,15.445685609321302,15.469675825976887,0.4283763206710093,0.7477603578010035,1.0,0.17627839103596576,1.0
openai,CP01,context_removal,1.0,30,30,18.751099207834063,18.757172842686284,0.3636774478310416,0.7395324462208829,1.0,0.0,1.0
openai,CP01,surface,0.25,3,30,1.3094235509272083,1.3190822880648057,0.2252008630937683,0.5178656811925948,0.934,0.8071999587877694,0.934
openai,CP01,surface,0.25,5,30,1.660781504695252,1.6774020053954701,0.2493491371856332,0.40438985395813043,1.0,0.7554658747942781,1.0
openai,CP01,surface,0.25,7,30,2.0627691527762657,2.083144041920007,0.2903561124139597,0.35929946481167185,1.0,0.6962770545978285,1.0
openai,CP01,surface,0.25,10,30,2.669470766852653,2.685342023880938,0.32761463199332763,0.3242881536781451,1.0,0.606946069131265,1.0
openai,CP01,surface,0.25,15,30,3.7263697757553755,3.7446019499152507,0.3453503305275217,0.2960090072562984,1.0,0.4513278413016831,1.0
openai,CP01,surface,0.25,20,30,4.763832074385856,4.788871302077178,0.35822650536452344,0.28135678530305164,1.0,0.2985714823753026,1.0
openai,CP01,surface,0.25,25,30,5.639782486492763,5.649689134877827,0.3449798041850773,0.2730345467782035,1.0,0.16959619746119292,1.0
openai,CP01,surface,0.25,30,30,6.791614476294742,6.802935783186652,0.2978315284322236,0.2678573246172683,1.0,0.0,1.0
openai,CP01,surface,0.5,3,30,2.053152816890532,2.072410792951211,0.24384756281240447,0.8120041688257502,1.0,0.8450271214872384,1.0
openai,CP01,surface,0.5,5,30,2.8189425392435457,2.8364647356125454,0.31485891192937054,0.6863947837438351,1.0,0.787224976107593,1.0
openai,CP01,surface,0.5,7,30,3.6256268771997027,3.639450368328646,0.36252638947383664,0.6315228220430731,1.0,0.7263360871385006,1.0
openai,CP01,surface,0.5,10,30,4.8360413406114535,4.844274331076361,0.3912821070755511,0.5874838327250481,1.0,0.6349734705591423,1.0
openai,CP01,surface,0.5,15,30,6.975405192140395,6.993561026194302,0.4561684602490779,0.5541003417239648,1.0,0.47349334519774544,1.0
openai,CP01,surface,0.5,20,30,9.12664691236374,9.142960066808536,0.4922690301437187,0.5390290832595572,1.0,0.31111667307810176,1.0
openai,CP01,surface,0.5,25,30,10.946314630417728,10.954182071450397,0.48141940992777915,0.5299356954218871,1.0,0.17376735261657947,1.0
openai,CP01,surface,0.5,30,30,13.2484653869384,13.269110204472309,0.4756705270338765,0.522511768919758,1.0,0.0,1.0
openai,CP01,surface,0.75,3,30,2.7851230403952885,2.7753702838316148,0.22418172669145114,1.1014920569422966,1.0,0.8649607967923343,1.0
openai,CP01,surface,0.75,5,30,3.9861772269893763,3.995760648162165,0.31175162388558353,0.9706090910310627,1.0,0.806726601026291,1.0
openai,CP01,surface,0.75,7,30,5.26472667675341,5.275318094715024,0.3622010879831091,0.917026258023746,1.0,0.7447349775132307,1.0
openai,CP01,surface,0.75,10,30,7.20858135276044,7.223781040220976,0.41296205896193566,0.8757007443394943,1.0,0.6504854299017799,1.0
openai,CP01,surface,0.75,15,30,10.651432531834049,10.65100954767823,0.49871140678934683,0.8461103323989114,1.0,0.4835556845219538,1.0
openai,CP01,surface,0.75,20,30,14.044630443928009,14.05484488148578,0.5167041820100875,0.82949021098364,1.0,0.31903342258624784,1.0
openai,CP01,surface,0.75,25,30,16.965122513819814,16.96826019451482,0.484309332867435,0.8213197136044252,1.0,0.1774307298604996,1.0
openai,CP01,surface,0.75,30,30,20.62455179117338,20.662340348434764,0.4345368285418678,0.8134203264181632,1.0,0.0,1.0
openai,CP01,surface,1.0,3,30,2.467895589267788,2.479998284254726,0.23221719810386907,0.9760313456584607,1.0,0.8542386304513438,1.0
openai,CP01,surface,1.0,5,30,3.445757863972603,3.456358229912009,0.28789081518898046,0.8390203741115543,1.0,0.7964831301737866,1.0
openai,CP01,surface,1.0,7,30,4.4889583465262515,4.501303828040034,0.3444912114361466,0.7819005482499123,1.0,0.7348685579398154,1.0
openai,CP01,surface,1.0,10,30,6.0829077290917155,6.109902494524818,0.4074181916774479,0.7389535562464369,1.0,0.6407250917395659,1.0
openai,CP01,surface,1.0,15,30,8.810843799053082,8.836078644189623,0.45901658901130094,0.6999007836036153,1.0,0.4796049457625955,1.0
openai,CP01,surface,1.0,20,30,11.565669923181886,11.58373179844556,0.47694084333405284,0.6830802720690269,1.0,0.31689659194582487,1.0
