provider,scenario_id,perturbation_family,lambda,mmd2_previous,rho_previous,theta_previous,exceedance_previous,mmd2_current,rho_current,theta_current,exceedance_current,previous_n,current_n,transition,relative_change_mmd2,relative_change_theta,relative_change_rho,signed_change_mmd2,signed_change_theta,signed_change_rho,absolute_change_exceedance_rate,theta_decreased,mmd2_increased,rho_increased
openai,CP01,semantic,0.25,0.23996694098987,0.6067564918619068,0.3954913448943941,0.073,0.1494471272076382,0.6137617508622807,0.2434937123365512,0.08,3,5,3->5,0.6056979178761047,0.6242363759592912,0.011413645425985063,-0.6056979178761047,-0.6242363759592912,0.011413645425985063,0.007000000000000006,True,False,True
openai,CP01,semantic,0.5,0.371246398290272,0.9386966442701898,0.3954913448943941,0.397,0.2620396494591818,1.0761659795838867,0.2434937123365512,0.61,3,5,3->5,0.41675658266403487,0.6242363759592912,0.12773990064883034,-0.41675658266403487,-0.6242363759592912,0.12773990064883034,0.21299999999999997,True,False,True
openai,CP01,semantic,0.75,0.5576273757120604,1.4099610090353825,0.3954913448943941,0.958,0.4436074162926454,1.8218434145005835,0.2434937123365512,0.999,3,5,3->5,0.2570289747910723,0.6242363759592912,0.2260800254220032,-0.2570289747910723,-0.6242363759592912,0.2260800254220032,0.041000000000000036,True,False,True
openai,CP01,semantic,1.0,0.6217472530513131,1.5720881406831668,0.3954913448943941,0.98,0.4978066495331666,2.044433282306321,0.2434937123365512,1.0,3,5,3->5,0.24897337878948692,0.6242363759592912,0.2310396459063231,-0.24897337878948692,-0.6242363759592912,0.2310396459063231,0.020000000000000018,True,False,True
openai,CP01,context_removal,0.25,0.2999663560822425,0.7584650333178363,0.3954913448943941,0.176,0.2040093042130404,0.8378421859660327,0.2434937123365512,0.268,3,5,3->5,0.47035625281578924,0.6242363759592912,0.09473998084337855,-0.47035625281578924,-0.6242363759592912,0.09473998084337855,0.09200000000000003,True,False,True
openai,CP01,context_removal,0.5,0.550057352771309,1.3908202034565074,0.3954913448943941,0.907,0.4468283361265196,1.835071352926453,0.2434937123365512,0.998,3,5,3->5,0.23102611964958283,0.6242363759592912,0.24208930555287822,-0.23102611964958283,-0.6242363759592912,0.24208930555287822,0.09099999999999997,True,False,True
openai,CP01,context_removal,0.75,1.151174582294523,2.910745322636364,0.3954913448943941,1.0,1.0203385657602768,4.190410322998358,0.2434937123365512,1.0,3,5,3->5,0.1282280420683279,0.6242363759592912,0.3053794024271964,-0.1282280420683279,-0.6242363759592912,0.3053794024271964,0.0,True,False,True
openai,CP01,context_removal,1.0,1.0970839174337992,2.7739770581496472,0.3954913448943941,1.0,0.9399946886260792,3.860447481809473,0.2434937123365512,1.0,3,5,3->5,0.16711714513762388,0.6242363759592912,0.281436395334816,-0.16711714513762388,-0.6242363759592912,0.281436395334816,0.0,True,False,True
openai,CP01,surface,0.25,0.5178656811925948,1.3094235509272083,0.3954913448943941,0.934,0.4043898539581304,1.660781504695252,0.2434937123365512,1.0,3,5,3->5,0.280609976051015,0.6242363759592912,0.2115618175989483,-0.280609976051015,-0.6242363759592912,0.2115618175989483,0.06599999999999995,True,False,True
openai,CP01,surface,0.5,0.8120041688257502,2.053152816890532,0.3954913448943941,1.0,0.6863947837438351,2.8189425392435457,0.2434937123365512,1.0,3,5,3->5,0.18299874657671197,0.6242363759592912,0.2716585072920681,-0.18299874657671197,-0.6242363759592912,0.2716585072920681,0.0,True,False,True
openai,CP01,surface,0.75,1.1014920569422966,2.7851230403952885,0.3954913448943941,1.0,0.9706090910310629,3.986177226989376,0.2434937123365512,1.0,3,5,3->5,0.1348462188543884,0.6242363759592912,0.30130476348669594,-0.1348462188543884,-0.6242363759592912,0.30130476348669594,0.0,True,False,True
openai,CP01,surface,1.0,0.9760313456584608,2.467895589267788,0.3954913448943941,1.0,0.8390203741115543,3.445757863972603,0.2434937123365512,1.0,3,5,3->5,0.16329874193101523,0.6242363759592912,0.2837872866601953,-0.16329874193101523,-0.6242363759592912,0.2837872866601953,0.0,True,False,True
openai,CP02,semantic,0.25,0.2555528083874753,0.6140227476533917,0.4161943663555144,0.036,0.1544589486096461,0.6310571944210814,0.244762202182551,0.055,3,5,3->5,0.6545030941089535,0.7004029324965141,0.026993506956713754,-0.6545030941089535,-0.7004029324965141,0.026993506956713754,0.019000000000000003,True,False,True
openai,CP02,semantic,0.5,0.4372226714643203,1.0505252036276809,0.4161943663555144,0.551,0.3264384403834021,1.3336962875498828,0.244762202182551,0.813,3,5,3->5,0.339372504508973,0.7004029324965141,0.2123205159717525,-0.339372504508973,-0.7004029324965141,0.2123205159717525,0.2619999999999999,True,False,True
openai,CP02,semantic,0.75,0.7151954584964777,1.7184169616691922,0.4161943663555144,0.995,0.6052764918960005,2.472916514472962,0.244762202182551,1.0,3,5,3->5,0.18160124847433132,0.7004029324965141,0.30510514543778355,-0.18160124847433132,-0.7004029324965141,0.30510514543778355,0.0050000000000000044,True,False,True
openai,CP02,semantic,1.0,0.6637464219826017,1.5947991506824666,0.4161943663555144,0.994,0.5543935653777747,2.2650293241122714,0.244762202182551,1.0,3,5,3->5,0.19724770169421388,0.7004029324965141,0.2959035303847498,-0.19724770169421388,-0.7004029324965141,0.2959035303847498,0.006000000000000005,True,False,True
openai,CP02,context_removal,0.25,0.3382357587790451,0.8126870186659931,0.4161943663555144,0.128,0.2442909648045234,0.9980747134409416,0.244762202182551,0.495,3,5,3->5,0.3845610665531343,0.7004029324965141,0.18574530771930858,-0.3845610665531343,-0.7004029324965141,0.18574530771930858,0.367,True,False,True
openai,CP02,context_removal,0.5,0.7553858179593134,1.81498328431015,0.4161943663555144,1.0,0.6374978007138815,2.6045598341136698,0.244762202182551,1.0,3,5,3->5,0.18492301795146387,0.7004029324965141,0.303151626413763,-0.18492301795146387,-0.7004029324965141,0.303151626413763,0.0,True,False,True
openai,CP02,context_removal,0.75,1.049147202545926,2.5208106773116232,0.4161943663555144,1.0,0.9326414193162414,3.810398055744937,0.244762202182551,1.0,3,5,3->5,0.12492023281048349,0.7004029324965141,0.3384390185925596,-0.12492023281048349,-0.7004029324965141,0.3384390185925596,0.0,True,False,True
openai,CP02,context_removal,1.0,0.8630681411846811,2.073714136840204,0.4161943663555144,1.0,0.7275294637187968,2.972393029770926,0.244762202182551,1.0,3,5,3->5,0.18629991529562637,0.7004029324965141,0.3023418787252306,-0.18629991529562637,-0.7004029324965141,0.3023418787252306,0.0,True,False,True
openai,CP02,surface,0.25,0.6954351485932715,1.670938399966781,0.4161943663555144,1.0,0.5717487038125226,2.3359354455639982,0.244762202182551,1.0,3,5,3->5,0.21633008340200077,0.7004029324965141,0.28468125986103926,-0.21633008340200077,-0.7004029324965141,0.28468125986103926,0.0,True,False,True
openai,CP02,surface,0.5,0.6271841684847007,1.506950163638107,0.4161943663555144,0.996,0.5239785431892001,2.140765765779477,0.244762202182551,1.0,3,5,3->5,0.19696536554214344,0.7004029324965141,0.29606957111937493,-0.19696536554214344,-0.7004029324965141,0.29606957111937493,0.0040000000000000036,True,False,True
openai,CP02,surface,0.75,0.6005818399462213,1.4430321227202834,0.4161943663555144,0.999,0.4848152998385529,1.9807604912663888,0.244762202182551,1.0,3,5,3->5,0.2387848323809489,0.7004029324965141,0.27147571395788067,-0.2387848323809489,-0.7004029324965141,0.27147571395788067,0.0010000000000000009,True,False,True
openai,CP02,surface,1.0,0.7911192825208058,1.900840920669814,0.4161943663555144,1.0,0.6763473125000972,2.7632833275280677,0.244762202182551,1.0,3,5,3->5,0.16969383613939046,0.7004029324965141,0.3121078458609466,-0.16969383613939046,-0.7004029324965141,0.3121078458609466,0.0,True,False,True
openai,CP03,semantic,0.25,0.2727654696886642,0.5914059676025762,0.461215281263381,0.058,0.1611705126300109,0.5859166622894025,0.275074124023467,0.052,3,5,3->5,0.6924030657818587,0.6766945378840289,0.009368747582164457,-0.6924030657818587,-0.6766945378840289,-0.009368747582164457,0.006000000000000005,True,False,False
