previous_n,current_n,transition,median_relative_change_mmd2,q90_relative_change_mmd2,median_relative_change_theta,q90_relative_change_theta,median_relative_change_rho,q90_relative_change_rho,median_abs_change_exceedance,q90_abs_change_exceedance,median_signed_change_mmd2,median_signed_change_theta,median_signed_change_rho,proportion_theta_decreased,proportion_mmd2_increased,proportion_rho_increased,n_conditions
3,5,3->5,0.15808206112222573,0.3326866262949011,0.6508698104482006,0.7235033926380465,0.291838561664445,0.3502649905175394,0.0,0.26419999999999993,-0.15808206112222573,-0.6508698104482006,0.291838561664445,1.0,0.001388888888888889,0.9944444444444445,720
5,7,5->7,0.07417956768586409,0.1641344444990884,0.3987922403880014,0.439921943215154,0.23077738074501136,0.2694051932729306,0.0,0.11820000000000004,-0.07417956768586409,-0.3987922403880014,0.23077738074501136,1.0,0.0,0.9944444444444445,720
7,10,7->10,0.05833062688968946,0.140907777213394,0.4341178418973489,0.48825096311983396,0.2534102003479828,0.29865234941364105,0.0,0.031000000000000028,-0.05827370860032306,-0.4341178418973489,0.2534102003479828,1.0,0.001388888888888889,0.9986111111111111,720
10,15,10->15,0.046023822757026434,0.12200961737155479,0.494180143872476,0.5385767997326806,0.29099721136318624,0.3279683041316887,0.0,0.0010000000000000009,-0.046023822757026434,-0.494180143872476,0.29099721136318624,1.0,0.0,0.9986111111111111,720
15,20,15->20,0.023533465983555293,0.06572569644966597,0.34231884262373885,0.38212771722804434,0.23473844149912748,0.2637994323970229,0.0,0.0,-0.023533465983555293,-0.34231884262373885,0.23473844149912748,1.0,0.0,0.9972222222222222,720
20,25,20->25,0.014442956583599996,0.041102818408514395,0.2492312189213754,0.2826237610415787,0.18516676540432742,0.21085642158896692,0.0,0.0,-0.014442956583599996,-0.2492312189213754,0.18516676540432742,1.0,0.002777777777777778,0.9972222222222222,720
25,30,25->30,0.009771944163440252,0.02925471666094828,0.20288601305610682,0.23687473536263426,0.157192799100785,0.18340945450880808,0.0,0.0,-0.009771944163440252,-0.20288601305610682,0.157192799100785,1.0,0.006944444444444444,1.0,720
