sample_size,median_theta,q25_theta,q75_theta,mean_theta
3,0.4389468404170994,0.4105477270100717,0.478194487071896,0.45627662405582947
5,0.27231233449839304,0.24762272473919833,0.29269087360736235,0.2771022491915784
7,0.1938921963742142,0.1763256081510848,0.20814434291034392,0.19731816223022494
10,0.1353414417928681,0.1232819622255078,0.14790338454669452,0.13798714162752052
15,0.0912861836711512,0.08254339230486624,0.09942267777819991,0.09257596807813807
20,0.0671517845306117,0.06208344488176733,0.07219718431432808,0.06899234537512826
25,0.0548813260746294,0.04945323433534055,0.05818592067268118,0.05536971388143093
30,0.045294119633544794,0.04094512542795855,0.04920476130872305,0.0460328827227614
